Imdb Link,Synopsis Link,Synopsis
http://www.imdb.com/title/tt92974,,
http://www.imdb.com/title/tt83907,/title/tt0083907/synopsis?ref_=tt_stry_pl,"
Five Michigan State University students venture into the hills to spend a weekend in an isolated cabin. There they find the Book of the Dead (a Babylonian and Sumerian text, unrelated to the Egyptian Book of the Dead), otherwise known as the Morturom Demonto.While searching the basement of the cabin, the students find and play a tape recording of demonic incantations from the book, unwittingly resurrecting slumbering demons that thirst for revenge. The characters are then possessed one by one, beginning with Cheryl (Ellen Sandweiss) after she is brutally raped by the evil force (using the nearby trees) in sequences of intense, bloody violence and horrifying voice-overs. Cheryl makes it home to the cabin but nobody believes her. Her brother Ash (Bruce Campbell) then decides to drive her into town where she can stay the night. They discover that the only road bridge is completely destroyed and the supports are bent into the shape of a hand. Soon after, Cheryl becomes a demon and stabs Linda (Betsy Baker) in the ankle with a pencil. They lock her in the cellar, but soon after Shelly (Theresa Tilly) becomes possessed and attacks Scotty (Richard DeManincor) who dismembers her with an axe. They wrap the dismembered body-parts in a blanket and bury them, after which Scotty leaves to find a trail out of the woods.Ash goes to check on Linda, but finds her to be possessed also. Scotty returns, but is mutilated by trees. Before losing consciousness he tells Ash there is a trail in the woods. After Linda tricks Ash by returning to (seemingly) normal, Ash drags her outside. He goes back to check on Scotty, who dies. Linda later returns and tries to stab Ash, but she falls on the dagger. Ash drags her outside to cut her up with a chainsaw, but he simply buries her instead. She rises from the grave and Ash beheads her with a shovel. The head soon comes back to life and taunts him, and the body gets up to chase Ash back to the cabin. He returns to find the cellar door flown open. Cheryl jumps at the window and tries to break in. Ash shoots her, but she doesn't die. Ash then proceeds to barricade both the front and back doors. He runs back into the cellar to find a box of shotgun shells and experiences a strange series of events including the cellar filling with blood and hearing things in his mind. Cheryl tries to attack Ash through the door, but he shoots her and then slides a bookshelf in front of the door. Scotty's dead body suddenly animates and he and Cheryl come at Ash again. Suddenly they begin to scream, and smoke starts to rise from their bodies. Ash notices that The Book of the Dead has fallen into the fireplace. He puts it directly into the flames and the demons stop and begin to rot away as dawn breaks. Ash is the only survivor. He heads outside and stands there for a while, thinking he has survived the ordeal; but the evil ""force"" runs him down. The screen goes black as Ash turns around with a look of terror on his face as the Evil catches him.

"
http://www.imdb.com/title/tt92997,,
http://www.imdb.com/title/tt93006,,
http://www.imdb.com/title/tt93029,,
http://www.imdb.com/title/tt93036,,
http://www.imdb.com/title/tt93044,/title/tt0093044/synopsis?ref_=tt_stry_pl,"
The plot centres on a secret 1968 East-West agreement to halt nuclear proliferation. One of the clauses, the Fourth Protocol, forbids the non-conventional delivery of a nuclear weapon to a target.MI5 agent John Preston (Michael Caine) breaks into the residence of British government official George Berenson on New Year's Eve and finds a number of top secret NATO files that should not have been there. He reports his findings to high-ranking British Secret Service official Sir Nigel Irvine (Ian Richardson), who deals with the leak. However, Preston's unauthorized action has embarrassed the acting-Director of MI5, Brian Harcourt-Smith (Julian Glover), so as punishment for his insubordination, Preston is relegated to lowly ""Airports and Ports"".Meanwhile, KGB agent Major Valeri Petrofsky (Pierce Brosnan) is sent on a mission to England personally by General Govershin (Alan North), the head of the KGB. One of Govershin's subordinates, Borisov (Ned Beatty), complains to his old friend General Karpov (Ray McAnally), about his espionage department being stripped of resources and personnel, particularly his star agent Petrofsky. The surprised Karpov quietly investigates and learns about Petrofsky's unsanctioned mission - to violate the Fourth Protocol by assembling and detonating an atomic device so that it will appear to be a nuclear accident at an American base. It is intended to strain Anglo-American relations and strengthen the anti-nuclear movement in advance of an election.In Glasgow, a Russian sailor is struck by a truck while fleeing from a port guard. Among the dead man's possessions, Preston finds a disk of polonium, which can only be a component of a detonator for an atomic bomb. He informs Harcourt-Smith, but is promptly suspended, as Harcourt-Smith believes that Preston is manufacturing a fake incident to work his way back into MI5. Luckily however, he has the confidence of Sir Bernard Hemmings (Michael Gough), the gravely-ill Director of MI5. Preston sets to work and eventually comes across Winkler, a known Czech KGB agent, and tails him from the airport.Meanwhile, Petrofsky meets another KGB agent, Irina Vassilievna (Joanna Cassidy), a bomb expert who pretends to be his wife. Under her guidance, they assemble the device from seemingly-harmless items; She sets it on a two-hour delay per their instructions. Later, unbeknownst to Petrofsky, Vassilievna follows her own orders, resetting the delay to zero. After sleeping with Petrofsky, she finds his own secret order to liquidate her and tries to warn him about the double-cross, but he kills her before she can.Afterwards, Petrofsky is observed contacting Winkler. The British follow him to Ipswich, lose him, then find him again. Preston eventually realises that Petrofsky's target is RAF Baywater, and locates Petrofsky's house, which lies right next to the base.When Petrofsky starts to activate the bomb, on an impulse, he checks the timer first and realises he has been betrayed. At that moment, British agents storm the house. After a desperate struggle, Preston subdues Petrofsky. However, much to Preston's outrage, another agent cold-bloodedly kills the spy, explaining afterwards that he had orders to do so.Hemmings dies. At his funeral, Preston is unsurprised to find Irvine secretly meeting with General Karpov. Preston had become suspicious when known KGB agent Winkler was used as a courier, making it easy to follow him, and also when Petrofsky was killed instead of being captured for questioning. He surmised that discrediting Govershin would benefit the two men he sees before him. However, Preston does not see any point in exposing them and leaves after expressing his contempt for their cynical powerplay.
"
http://www.imdb.com/title/tt93073,,
http://www.imdb.com/title/tt93092,,
http://www.imdb.com/title/tt93093,,
